2025-12-04 00:04:37,746 - INFO - 📝 Log file: /home/hdl/project/fgvr_test_new/scripts/compete_gpu_retry/logs/compete_gpu(35).log
2025-12-04 00:04:37,747 - INFO - 📄 Command file: /home/hdl/project/fgvr_test_new/scripts/compete_gpu_retry/command/command_gpu.txt
2025-12-04 00:04:37,868 - INFO - 🖥️ Using 3/10 GPUs: [0, 1, 2]
2025-12-04 00:04:37,868 - INFO - 🖥️ Reserved GPUs: [3, 4, 5, 6, 7, 8, 9] (gpu_left=2, excess=5)
2025-12-04 00:04:37,869 - INFO - 📋 Total tasks: 5, Queues: [1, 2, 3]
2025-12-04 00:04:37,869 - INFO -    Queue 1: 2 tasks
2025-12-04 00:04:37,869 - INFO -    Queue 2: 2 tasks
2025-12-04 00:04:37,869 - INFO -    Queue 3: 1 tasks
2025-12-04 00:04:37,983 - INFO - 🏁 Starting GPU competition scheduler
2025-12-04 00:04:37,983 - INFO - ============================================================
2025-12-04 00:04:37,983 - INFO - 📊 Tasks: Pending=5, Running=0, Completed=0, Failed=0
2025-12-04 00:04:37,983 - INFO -    Queue 1: 🟢 IDLE, Pending=2, Completed=0
2025-12-04 00:04:37,983 - INFO -    Queue 2: 🟢 IDLE, Pending=2, Completed=0
2025-12-04 00:04:37,983 - INFO -    Queue 3: 🟢 IDLE, Pending=1, Completed=0
2025-12-04 00:04:37,983 - INFO - ============================================================
2025-12-04 00:04:37,983 - INFO - 🔧 Starting 3 queues with 3 workers
2025-12-04 00:04:37,987 - INFO - 🚀 Queue 1: Starting with 2 tasks
2025-12-04 00:06:02,904 - INFO - ⏳ Queue 2: Waiting for GPU (1GB required, elapsed 85s) - GPU0: 🔴 (13.4GB) | GPU1: 🔴 (40.8GB) | GPU2: 🔴 (22.5GB)
2025-12-04 00:06:03,138 - INFO - ⏳ Queue 3: Waiting for GPU (1GB required, elapsed 85s) - GPU0: 🔴 (13.4GB) | GPU1: 🔴 (40.8GB) | GPU2: 🔴 (22.5GB)
2025-12-04 00:06:06,233 - INFO - ⏳ Queue 2: Waiting for GPU (1GB required, elapsed 88s) - GPU0: 🔴 (13.3GB) | GPU1: 🔴 (40.8GB) | GPU2: 🔴 (22.5GB)
2025-12-04 00:06:06,536 - INFO - ⏳ Queue 3: Waiting for GPU (1GB required, elapsed 88s) - GPU0: 🔴 (13.3GB) | GPU1: 🔴 (40.8GB) | GPU2: 🔴 (22.5GB)
2025-12-04 00:06:09,644 - INFO - ⏳ Queue 2: Waiting for GPU (1GB required, elapsed 91s) - GPU0: 🔴 (13.3GB) | GPU1: 🔴 (40.8GB) | GPU2: 🔴 (22.5GB)
2025-12-04 00:06:09,900 - INFO - ⏳ Queue 3: Waiting for GPU (1GB required, elapsed 92s) - GPU0: 🔴 (13.3GB) | GPU1: 🔴 (40.8GB) | GPU2: 🔴 (22.5GB)
2025-12-04 00:06:12,950 - INFO - ⏳ Queue 2: Waiting for GPU (1GB required, elapsed 95s) - GPU0: 🔴 (13.3GB) | GPU1: 🔴 (40.8GB) | GPU2: 🔴 (22.5GB)
2025-12-04 00:06:13,498 - INFO - ⏳ Queue 3: Waiting for GPU (1GB required, elapsed 95s) - GPU0: 🔴 (13.3GB) | GPU1: 🔴 (40.5GB) | GPU2: 🔴 (22.5GB)
2025-12-04 00:06:16,293 - INFO - ⏳ Queue 2: Waiting for GPU (1GB required, elapsed 98s) - GPU0: 🔴 (13.3GB) | GPU1: 🔴 (25.3GB) | GPU2: 🔴 (22.5GB)
2025-12-04 00:06:16,879 - INFO - ⏳ Queue 3: Waiting for GPU (1GB required, elapsed 99s) - GPU0: 🔴 (13.3GB) | GPU1: 🔴 (25.3GB) | GPU2: 🔴 (22.5GB)
