2025-12-04 00:09:47,313 - INFO - 📝 Log file: /home/hdl/project/fgvr_test_new/scripts/compete_gpu_retry/logs/compete_gpu(36).log
2025-12-04 00:09:47,313 - INFO - 📄 Command file: /home/hdl/project/fgvr_test_new/scripts/compete_gpu_retry/command/command_gpu.txt
2025-12-04 00:09:47,458 - INFO - 🖥️ Using 3/10 GPUs: [0, 1, 2]
2025-12-04 00:09:47,458 - INFO - 🖥️ Reserved GPUs: [3, 4, 5, 6, 7, 8, 9] (gpu_left=2, excess=5)
2025-12-04 00:09:47,459 - INFO - 📋 Total tasks: 5, Queues: [1, 2, 3]
2025-12-04 00:09:47,459 - INFO -    Queue 1: 2 tasks
2025-12-04 00:09:47,459 - INFO -    Queue 2: 2 tasks
2025-12-04 00:09:47,459 - INFO -    Queue 3: 1 tasks
2025-12-04 00:09:47,587 - INFO - 🏁 Starting GPU competition scheduler
2025-12-04 00:09:47,587 - INFO - ============================================================
2025-12-04 00:09:47,587 - INFO - 📊 Tasks: Pending=5, Running=0, Completed=0, Failed=0
2025-12-04 00:09:47,587 - INFO -    Queue 1: 🟢 IDLE, Pending=2, Completed=0
2025-12-04 00:09:47,587 - INFO -    Queue 2: 🟢 IDLE, Pending=2, Completed=0
2025-12-04 00:09:47,587 - INFO -    Queue 3: 🟢 IDLE, Pending=1, Completed=0
2025-12-04 00:09:47,587 - INFO - ============================================================
2025-12-04 00:09:47,587 - INFO - 🔧 Starting 3 queues with 3 workers
2025-12-04 00:09:47,589 - INFO - 🚀 Queue 1: Starting with 2 tasks
2025-12-04 00:09:47,589 - INFO - 🚀 Queue 2: Starting with 2 tasks
2025-12-04 00:09:47,589 - INFO - 🚀 Queue 3: Starting with 1 tasks
2025-12-04 00:10:34,142 - INFO - ⏳ Queue 3: Waiting for GPU (1GB required, elapsed 46s) - GPU0: 🔴 (13.3GB) | GPU1: 🔴 (22.7GB) | GPU2: 🔴 (22.5GB)
2025-12-04 00:10:36,685 - INFO - ⏳ Queue 1: Waiting for GPU (1GB required, elapsed 49s) - GPU0: 🔴 (13.3GB) | GPU1: 🔴 (22.7GB) | GPU2: 🔴 (22.5GB)
2025-12-04 00:10:37,274 - INFO - ⏳ Queue 2: Waiting for GPU (1GB required, elapsed 49s) - GPU0: 🔴 (13.3GB) | GPU1: 🔴 (22.7GB) | GPU2: 🔴 (22.5GB)
2025-12-04 00:10:37,690 - INFO - ⏳ Queue 3: Waiting for GPU (1GB required, elapsed 50s) - GPU0: 🔴 (13.3GB) | GPU1: 🔴 (22.7GB) | GPU2: 🔴 (22.5GB)
2025-12-04 00:10:40,122 - INFO - ⏳ Queue 1: Waiting for GPU (1GB required, elapsed 52s) - GPU0: 🔴 (13.3GB) | GPU1: 🔴 (22.7GB) | GPU2: 🔴 (22.5GB)
2025-12-04 00:10:40,687 - INFO - ⏳ Queue 2: Waiting for GPU (1GB required, elapsed 53s) - GPU0: 🔴 (13.3GB) | GPU1: 🔴 (22.7GB) | GPU2: 🔴 (22.5GB)
2025-12-04 00:10:41,076 - INFO - ⏳ Queue 3: Waiting for GPU (1GB required, elapsed 53s) - GPU0: 🔴 (13.3GB) | GPU1: 🔴 (22.7GB) | GPU2: 🔴 (22.5GB)
2025-12-04 00:10:43,584 - INFO - ⏳ Queue 1: Waiting for GPU (1GB required, elapsed 56s) - GPU0: 🔴 (13.3GB) | GPU1: 🔴 (22.7GB) | GPU2: 🔴 (22.5GB)
2025-12-04 00:10:44,156 - INFO - ⏳ Queue 2: Waiting for GPU (1GB required, elapsed 56s) - GPU0: 🔴 (13.3GB) | GPU1: 🔴 (22.7GB) | GPU2: 🔴 (22.5GB)
2025-12-04 00:10:44,481 - INFO - ⏳ Queue 3: Waiting for GPU (1GB required, elapsed 57s) - GPU0: 🔴 (13.3GB) | GPU1: 🔴 (22.7GB) | GPU2: 🔴 (22.5GB)
2025-12-04 00:10:46,984 - INFO - ⏳ Queue 1: Waiting for GPU (1GB required, elapsed 59s) - GPU0: 🔴 (13.3GB) | GPU1: 🔴 (22.9GB) | GPU2: 🔴 (22.5GB)
2025-12-04 00:10:47,678 - INFO - ⏳ Queue 2: Waiting for GPU (1GB required, elapsed 60s) - GPU0: 🔴 (13.3GB) | GPU1: 🔴 (22.9GB) | GPU2: 🔴 (22.5GB)
2025-12-04 00:10:48,028 - INFO - ⏳ Queue 3: Waiting for GPU (1GB required, elapsed 60s) - GPU0: 🔴 (13.3GB) | GPU1: 🔴 (22.9GB) | GPU2: 🔴 (22.5GB)
2025-12-04 00:10:50,505 - INFO - ⏳ Queue 1: Waiting for GPU (1GB required, elapsed 63s) - GPU0: 🔴 (13.3GB) | GPU1: 🔴 (22.9GB) | GPU2: 🔴 (22.5GB)
2025-12-04 00:10:51,056 - INFO - ⏳ Queue 2: Waiting for GPU (1GB required, elapsed 63s) - GPU0: 🔴 (13.3GB) | GPU1: 🔴 (22.9GB) | GPU2: 🔴 (22.5GB)
2025-12-04 00:10:51,421 - INFO - ⏳ Queue 3: Waiting for GPU (1GB required, elapsed 64s) - GPU0: 🔴 (13.3GB) | GPU1: 🔴 (22.9GB) | GPU2: 🔴 (22.5GB)
2025-12-04 00:10:53,969 - INFO - ⏳ Queue 1: Waiting for GPU (1GB required, elapsed 66s) - GPU0: 🔴 (13.3GB) | GPU1: 🔴 (22.9GB) | GPU2: 🔴 (22.5GB)
2025-12-04 00:10:54,600 - INFO - ⏳ Queue 2: Waiting for GPU (1GB required, elapsed 67s) - GPU0: 🔴 (13.3GB) | GPU1: 🔴 (22.9GB) | GPU2: 🔴 (22.5GB)
2025-12-04 00:10:54,880 - INFO - ⏳ Queue 3: Waiting for GPU (1GB required, elapsed 67s) - GPU0: 🔴 (13.3GB) | GPU1: 🔴 (22.9GB) | GPU2: 🔴 (22.5GB)
2025-12-04 00:10:57,344 - INFO - ⏳ Queue 1: Waiting for GPU (1GB required, elapsed 70s) - GPU0: 🔴 (13.3GB) | GPU1: 🔴 (23.2GB) | GPU2: 🔴 (22.5GB)
2025-12-04 00:10:58,145 - INFO - ⏳ Queue 2: Waiting for GPU (1GB required, elapsed 70s) - GPU0: 🔴 (13.3GB) | GPU1: 🔴 (23.0GB) | GPU2: 🔴 (22.5GB)
2025-12-04 00:10:58,360 - INFO - ⏳ Queue 3: Waiting for GPU (1GB required, elapsed 71s) - GPU0: 🔴 (13.3GB) | GPU1: 🔴 (23.0GB) | GPU2: 🔴 (22.5GB)
2025-12-04 00:11:00,941 - INFO - ⏳ Queue 1: Waiting for GPU (1GB required, elapsed 73s) - GPU0: 🔴 (13.3GB) | GPU1: 🔴 (23.0GB) | GPU2: 🔴 (22.5GB)
2025-12-04 00:11:01,654 - INFO - ⏳ Queue 2: Waiting for GPU (1GB required, elapsed 74s) - GPU0: 🔴 (13.3GB) | GPU1: 🔴 (23.0GB) | GPU2: 🔴 (22.5GB)
2025-12-04 00:11:01,944 - INFO - ⏳ Queue 3: Waiting for GPU (1GB required, elapsed 74s) - GPU0: 🔴 (13.3GB) | GPU1: 🔴 (23.0GB) | GPU2: 🔴 (22.5GB)
